Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,CA,,49,1,0
0,USA,CA,,50,1,0
0,USA,CA,,51,1,0
0,USA,CA,,52,1,0
0,USA,CA,,53,1,0
0,USA,CA,,54,1,0
0,USA,CA,,55,1,0
0,USA,CA,,56,1,0
0,USA,CA,,57,1,0
0,USA,CA,,58,1,0
0,USA,CA,,59,1,0
0,USA,CA,,60,1,0
0,USA,CA,,61,1,0
0,USA,CA,,62,1,0
0,USA,CA,,63,1,0
0,USA,CA,,64,1,0
0,USA,CA,,65,1,0
0,USA,CA,,66,1,0
0,USA,CA,,67,1,0
0,USA,CA,,68,1,0
0,USA,CA,,69,1,0
0,USA,CA,,70,1,0
0,USA,CA,,71,1,0
0,USA,CA,,72,1,0
0,USA,CA,,73,1,0
0,USA,CA,,74,1,0
0,USA,CA,,75,1,0
0,USA,CA,,76,1,0
0,USA,CA,,77,1,0
0,USA,CA,,78,1,0
0,USA,CA,,79,1,0
0,USA,CA,,80,1,0
0,USA,CA,,81,1,0
0,USA,CA,,82,1,0
0,USA,CA,,83,1,0
0,USA,CA,,84,1,0
0,USA,CA,,85,1,0
0,USA,CA,,86,1,0
0,USA,CA,,87,1,0
0,USA,CA,,88,1,0
0,USA,CA,,89,1,0
0,USA,CA,,90,1,0
0,USA,CA,,91,1,0
0,USA,CA,,92,1,0
0,USA,CA,,93,1,0
0,USA,CA,,94,1,0
0,USA,CA,,95,1,0
0,USA,CA,,96,1,0
0,USA,CA,,97,1,0
0,USA,CA,,98,1,0
0,USA,CA,,99,1,0
0,USA,CA,,100,1,0
0,USA,CA,,101,1,0
0,USA,CA,,102,1,0
0,USA,CA,,103,1,0
0,USA,CA,,104,1,0
0,USA,CA,,105,1,0
0,USA,CA,,106,1,0
0,USA,CA,,107,1,0
0,USA,CA,,108,1,0
0,USA,CA,,109,1,0
0,USA,CA,,110,1,0
0,USA,CA,,111,1,0
0,USA,CA,,112,1,0
0,USA,CA,,113,1,0
0,USA,CA,,114,1,0
0,USA,CA,,115,1,0
0,USA,CA,,116,1,0
0,USA,CA,,117,1,0
0,USA,CA,,118,1,0
0,USA,CA,,119,1,0
0,USA,CA,,120,1,0
0,USA,CA,,121,1,0
0,USA,CA,,122,1,0
0,USA,CA,,123,1,0
0,USA,CA,,124,1,0
0,USA,CA,,125,1,0
0,USA,CA,,126,1,0
0,USA,CA,,127,1,0
0,USA,CA,,128,1,0
0,USA,CA,,129,1,0
0,USA,CA,,130,1,0
0,USA,CA,,131,1,0
0,USA,CA,,132,1,0
0,USA,CA,,133,1,0
0,USA,CA,,134,1,0
